Unnamed: 0,product_id,Brand,Name,Description,recommended,not_recommended,overall_rating,Scent,Notes,brand_name,Score,max_review,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,User11,User12,User13,User14,User15,User16,User17,User18,User19,User20,User21,User22,User23,User24,User25,User26,User27,User28,User29,User30,User31,User32,User33,User34,User35,User36,User37,User38,User39,User40,User41,User42,User43,User44,User45,User46,User47,User48,User49,User50,User51,User52,User53,User54,User55,User56,User57,User58,User59,User60,User61,User62,User63,User64,User65,User66,User67,User68,User69,User70,User71,User72,User73,User74,User75,User76,User77,User78,User79,User80,User81,User82,User83,User84,User85,User86,User87,User88,User89,User90,User91,User92,User93,User94,User95,User96,User97,User98,User99,User100,Family
1,P474316,Dior,Miss Dior Eau de Parfum,"Fragrance Family: FloralsScent Type: Warm FloralsKey Notes:Lily-of-the-Valley, Centifolia Rose, Soft MuskFragrance Description: All our senses are awakened by the floral bouquet of the spectacularly reinvented Miss Dior Eau de Parfum. The new perfume for women celebrates the velvety and sensual roses––heightened by a fresh lily-of-the-valley and spicy peony––enveloped by a powdery iris. About the Bottle: The Miss Dior couture bow, an extraordinary piece of craftsmanship, is embroidered with a myriad of colorful specks to reflect the flowers' vividness. Each bow is curated with 346 threads, handcrafted and tied. Along with its extraordinary new bow, the bottle boasts an elegant label and an eco-conscious design. The bottle is designed and produced with 30 percent less glass than its predecessor.About the Fragrance: The new Miss Dior Eau de Parfum is a colorful floral bouquet, like a ""millefiori"" alive with notes of Grasse rose, peony, iris and lily-of-the-valley.",2000,149,4.5291,Warm Florals,Unknown,"Dior, Miss Dior Eau de Parfum",4.449253056805355,2149,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,Floral
6,P255506,Viktor&Rolf,Flowerbomb,"Fragrance Family: Warm & SpicyScent Type: Warm & Sweet GourmandsKey Notes: Jasmine, Orange Blossom, PatchouliFragrance Description: This floral perfume for women explodes with an intoxicating whirl of cattleya, jasmine, and rose. The warm scent of patchouli and vanilla grounds the fresh fragrance, adding a sensual twist on the scent reminiscent of a room filled with rose petals.About the Bottle: The instantly recognizable grenade fragrance bottle displays the soft-pink hue of the floral women's perfume within, contrasting the harsh shape with a distinctly feminine scent encapsulated within.About the Fragrance: This luxe feminine perfume is a veritable summer garden party in a bottle. Exploding with floral scents of rosebud and jasmine accented by a warm patchouli and vanilla cologne base, this perfume for women exudes classic femininity through warm floral fragrances.This fragrance is an Allure Best of Beauty award winner.",1087,148,4.5872,Warm & Sweet Gourmands,"Jasmine, Orange Blossom, Patchouli","Viktor&Rolf, Flowerbomb",4.538728257463945,4966,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,Warm & Spicy
7,P437631,BURBERRY,Her Eau de Parfum,"Fragrance Family: FloralScent Type: Fruity FloralKey Notes: Dark Berries, Jasmine, Musk-AmberFragrance Description: Burberry Her Eau de Parfum for women is an artful blend of berries elevated by spirited jasmine and violet and smoothed out with amber and musk. A multifaceted, magnetic fruity gourmand and the scent of freedom.About the Bottle: Interweaving the House’s tailored heritage with unexpected twists and turns, this designer perfume from master perfumer Francis Kurkdjian opens with a dense burst of berries, with black currant, blueberry, and raspberry left to linger in an intense, fruity-floral sweetness. Delicate jasmine and violet unwind their tendrils in a white woody accord, casting the scent in dazzling light that deepens into dry amber and powdery musk at the base for a bold Burberry perfume for women.About the Fragrance: The Burberry Her woman throws herself head first into everything she does, losing herself in the whirlwind of color on her doorstep. Life lived in the fast lane. Shrug loose from the chains of expectation, seize the moment, and play by your own rules: a scent for women who know who they are.",986,169,4.31,Fruity Florals,"Dark Berries, Jasmine, Musk-Amber","BURBERRY, Her Eau de Parfum",4.276700601017865,1150,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,Floral
8,P456175,TOM FORD,Mini Soleil Blanc Shimmering Body Oil,"Fragrance Family: Warm & Spicy
Scent Type: Warm & Sweet GourmandsKey Notes: Bergamot, Pistachio, Coco De Mer
Fragrance Description: This silky and lightweight body oil captures the sultry effect of sunkissed summer skin and tempts the senses with a fragrance of scorching sensuality. It illuminates the skin with shimmers of gold and platinum leaf. 
About the Fragrance: The captivating fragrance wraps a bouquet of white florals in a golden, amber-sandalwood embrace as tempting as a white-sand beach, as irresistible as the perfect tan.",637,83,4.4223,Warm & Sweet Gourmands,Unknown,"TOM FORD, Mini Soleil Blanc Shimmering Body Oil",4.3250605001334055,778,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,Unknown
9,P385358,Maison Margiela,’REPLICA’ Beach Walk,"Fragrance Family: FreshScent Type: Fresh SolarKey Notes: Bergamot, Heliotrope, Coconut MilkFragrance Description: A fresh scent inspired by salty air and rays of sun where bergamot and pink pepper fuse with lemon atop a floral perfume of heliotrope, coconut milk, and musk.About the Bottle: Influenced by the look of classic apothecary jars, the luxe bottle carries a cotton label with black ink text and a unique pump wrapped with rope as a homage to the original couture line. The fresh eau de toilette within is echoed by the Polaroid photograph of waves meeting the sand printed on the outside carton.About the Fragrance: Memories of endless summer days, the scent of salty air, and the glow of sun-kissed skin are evoked with each fine mist. Footprints in the sand and the scent of sunscreen wafting through the air bring inspiration to this warm yet refreshing fragrance.",836,181,4.216,Fresh Solar,"Bergamot, Heliotrope, Coconut Milk","Maison Margiela, ’REPLICA’ Beach Walk",4.21964661949389,1585,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,Fresh
10,P394534,Yves Saint Laurent,Black Opium Eau de Parfum,"Fragrance Family: Warm & SpicyScent Type: Warm & Sweet GourmandKey Notes: Black Coffee, White Flowers, VanillaFragrance Description: This is a seductively intoxicating women’s fragrance with opening notes of adrenaline-rich coffee and sweet vanilla that recline into the softness of white flowers for a young, modern scent.About the Fragrance: This seductive women's perfume is inspired by the edgy and daring woman. It is emboldened by the strong scent of coffee and captivates the senses with a sweet vanilla base and a burst of floral at the heart of the fragrance.",1814,207,4.6374,Warm & Sweet Gourmands,"Black Coffee, White Flowers, Vanilla","Yves Saint Laurent, Black Opium Eau de Parfum",4.595978763047357,6879,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,4,5,3,3,5,1,Warm & Spicy
13,P448102,Yves Saint Laurent,Libre Eau De Parfum,"Fragrance Family: FloralScent Type: Warm FloralKey Notes: Lavender, Orange Blossom, Musk AccordFragrance Description: This is a bold and floral feminine fragrance for those who live by their own rules. It contains lavender essence from France combined with the sensuality of Moroccan orange blossom and a daring note of musk accord for a unique scent.About the Bottle: The bottle is a couture statement featuring a black asymmetric cap like a sexy couture dress. It also has gold chains around the neck that are reminiscent of the iconic YSL it-bags, and the design is completed with the timeless Yves Saint Laurent logo.About the Fragrance: This scent is a celebration of freedom. The daring yet distinctly floral and feminine perfume is for those who do what they want and dare to be exactly who they are. This women's perfume is inspired by the bold and the free, who are breaking boundaries and paving their own way.",3134,278,4.5188,Warm Florals,"Lavender, Orange Blossom, Musk Accord","Yves Saint Laurent, Libre Eau De Parfum",4.464928847688427,3410,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,Floral
15,P449116,Valentino,Donna Born In Roma Eau de Parfum,"Fragrance Family: FloralScent Type: Warm FloralsKey Notes: Blackcurrant, Jasmine Grandiflorum, Bourbon VanillaFragrance Description: This is a warm floral fragrance inspired by Roman street style and edgy haute couture. A trio of jasmine flowers and sparkling blackcurrant fuse with warm vanilla and rich woods to create a scent that captures the essence of modern femininity.   About the Bottle: Designed with the iconic Valentino stud across the exterior, the luxe fragrance bottle stands out from the rest. The roughly studded exterior, an ode to the edgy fashion house and Roman architecture, is contrasted by the delicate, feminine ladies’ perfume within.About the Fragrance: The values and personality of the iconic haute couture fashion house come to life through this experiential floral perfume for women. The sweet floral women's fragrance held within the studded bottle beautifully contrasts with the edgy design inspired by Roman architecture.",1705,152,4.5315,Warm Florals,"Blackcurrant, Jasmine Grandiflorum, Bourbon Vanilla","Valentino, Donna Born In Roma Eau de Parfum",4.441944926854636,1853,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,Floral
18,P408227,Maison Margiela,’REPLICA’ Jazz Club Travel Spray,"Fragrance Family: Warm & SpicyScent Type: Woody SpicesKey Notes: Pink Pepper, Rum Absolute, Tobacco Leaf AbsoluteFragrance Description: In this scent, a smooth cocktail of warm scents and spicy fragrances awakens the senses with contrasting lemon and pink pepper followed by neroli oil, rum, and vanilla perfume atop smoky tobacco leaf.About the Bottle: Influenced by the look of classic apothecary jars, the luxe bottle carries a cotton label with black ink text and a unique pump wrapped with rope as a homage to the original couture line. The warm and smoky eau de toilette within is echoed by the Polaroid photograph printed on the outside carton.About the Fragrance: Inspired by the scents wafting throughout a Brooklyn jazz club, this eau de toilette brims with the sweet notes of opened cigar boxes, old leather bar stools, and fine aged liquor.",565,60,4.6051,Woody Spices,"Pink Pepper, Rum Absolute, Tobacco Leaf Absolute","Maison Margiela, ’REPLICA’ Jazz Club Travel Spray",4.43031230497267,898,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,5,3,3,5,4,4,Warm & Spicy
32,P375713,Montblanc,Legend Eau de Toilette,"The Montblanc Legend man is confident and charismatic—an effortlessly seductive man who lives his feelings. 
Montblanc Legend Eau de Toilette is the incarnation of a resolutely masculine fragrance, both modern and timeless, with depth, modernity, and the right amount of discreet mystery. A fresh fougére with top notes that are lively, bright, and clean, magnetic heart notes with a unique woody-floral tone, and a sensual dry down with an unforgettable signature of tonka beans and sandalwood.

Notes:Italian Bergamot, French Lavandin, Pineapple Leaves, White Cedar, Rose, Fresh Jasmine, Pomarose™, Evernyl, Sandalwood, Tonka Beans.

Style:Confident. Charismatic. Seductive.",721,46,4.5864,Unknown,Unknown,"Montblanc, Legend Eau de Toilette",4.418450169716699,880,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,Unknown
