,product_id,Brand,Name,Description,recommended,not_recommended,overall_rating,Family,Scent,Notes,brand_name,max_review,User1,User2,User3,User4,User5,User6,User7,User8,User9,User10,User11,User12,User13,User14,User15,User16,User17,User18,User19,User20,User21,User22,User23,User24,User25,User26,User27,User28,User29,User30,User31,User32,User33,User34,User35,User36,User37,User38,User39,User40,User41,User42,User43,User44,User45,User46,User47,User48,User49,User50,User51,User52,User53,User54,User55,User56,User57,User58,User59,User60,User61,User62,User63,User64,User65,User66,User67,User68,User69,User70,User71,User72,User73,User74,User75,User76,User77,User78,User79,User80,User81,User82,User83,User84,User85,User86,User87,User88,User89,User90,User91,User92,User93,User94,User95,User96,User97,User98,User99,User100
0,P474860,Sol de Janeiro,Anitta x Sol de Janeiro Perfume Mist,"Fragrance Family: Warm & SpicyScent Type:Warm & Sweet GourmandsKey Notes: Passionfruit Nectar, Tiger Orchid, Pink PatchouliFragrance Description: Co-created with Brazilian megastar Anitta, this fragrance is filled with the sensuous, edgy energy of an exhilarating melody of notes that make the heart beat faster: fresh passionfruit nectar, spicy pink patchouli, sweet jasmine honey, warm vanilla, and tiger orchid in full bloom. Follow Anitta's call to boldly love yourself with each celebratory spritz.",310,69,4.2375,Warm & Spicy,Unknown,"Passionfruit Nectar, Tiger Orchid, Pink Patchouli","Sol de Janeiro, Anitta x Sol de Janeiro Perfume Mist",375,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2,4,5,5,5,4,2
1,P474316,Dior,Miss Dior Eau de Parfum,"Fragrance Family: FloralsScent Type: Warm FloralsKey Notes:Lily-of-the-Valley, Centifolia Rose, Soft MuskFragrance Description: All our senses are awakened by the floral bouquet of the spectacularly reinvented Miss Dior Eau de Parfum. The new perfume for women celebrates the velvety and sensual roses––heightened by a fresh lily-of-the-valley and spicy peony––enveloped by a powdery iris. About the Bottle: The Miss Dior couture bow, an extraordinary piece of craftsmanship, is embroidered with a myriad of colorful specks to reflect the flowers' vividness. Each bow is curated with 346 threads, handcrafted and tied. Along with its extraordinary new bow, the bottle boasts an elegant label and an eco-conscious design. The bottle is designed and produced with 30 percent less glass than its predecessor.About the Fragrance: The new Miss Dior Eau de Parfum is a colorful floral bouquet, like a ""millefiori"" alive with notes of Grasse rose, peony, iris and lily-of-the-valley.",2000,149,4.5291,Floral,Warm Florals,Unknown,"Dior, Miss Dior Eau de Parfum",2149,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,4,5
2,P480364,Valentino,Born in Roma Coral Fantasy Eau de Parfum Travel Spray,"Fragrance Family: FloralScent Type: Fruity FloralKey Notes: Orange, Jasmine, RoseFragrance Description: The coral sky of Rome inspires a floral, fruity perfume twisted by a bright and juicy orange accord, heightened by rose fragrance, and infused with jasmine to create Donna Born in Roma Coral Fantasy Eau de Parfum.About the Bottle: This fragrance is inspired by the patterns carved onto Italian palazzos and originally created for leather goods; the rockstud has become one of Maison Valentino’s most iconic codes. This edgy pyramidal stud is part of the House’s iconography and is a strong symbol of Rome. Born In Roma Coral Fantasy Eau de Parfum takes its color inspiration from the beautiful sunset hour of the eternal city. The perfume bottle is composed of this audacious coral statement, inspired by the energy of this magic hour on the streets of Rome.About the Fragrance: Inspired by the light of Rome at sunset, Born in Roma Coral Fantasy is a fruity, floral perfume for women energized by a orange accord. Blended with ambrette seed and musk scent, this Eau de Parfum is infused with a heart of jasmine and rose perfume to reveal a bright, feminine women’s fragrance.",19,3,4.1818,Floral,Fruity Florals,"Orange, Jasmine, Rose","Valentino, Born in Roma Coral Fantasy Eau de Parfum Travel Spray",22,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5,2,5,5,1,5,5
3,P470042,Maison Margiela,‘REPLICA' Mini Coffret Set,"Set Description: Discover scents inspired by precious moments of the past with five of Maison Margiela’s decadent fragrances—Beach Walk, Jazz Club, Lazy Sunday Morning, By the Fireplace and Bubble Bath.Beach Walk is a modern floral fragrance that evokes the memory of a stroll along the ocean, capturing the sunny scents of a summer day with radiant notes of lemon, coconut milk, and cedarwood. Jazz Club is a woody and spicy fragrance that is reminiscent of an anthology of classic cocktails and coppery tones through balmy, rich notes of rum absolute blended with an underscore of tobacco leaf absolute. Lazy Sunday Morning is a classic floral fragrance that recalls soft, velvety skin enveloped in fresh and comfortable linens through notes of fresh pear, iris, and tender white musk. By the Fireplace is a warm and spicy fragrance that evokes the comforting sensation of a crackling fireplace beside a frosted winter landscape with enveloping notes of clove, chestnut, and vanilla accord. Bubble Bath is inspired by the warmth and relaxation of a warm bath, where the soap bubble accord is blended with the floral scents of rose super essence, jasmine, and lavender layered atop a grounding musk perfume.

This Set Contains:- 5 x 0.24 oz/ 7 mL Fragrances in Beach Walk, Jazz Club, Lazy Sunday Morning, By the Fireplace, Bubble Bath",29,6,4.1429,Unknown,Unknown,Unknown,"Maison Margiela, ‘REPLICA' Mini Coffret Set",35,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4,4,5,5,2,4,4
4,P443204,Prada,Candy Eau de Parfum  Mini and Rollerball Set,"Fragrance Family: Warm and Spicy Scent Type: Warm and Sweet GourmandsKey Notes: White Musks, Benzoin, Caramel AccordSet Description: This gourmand perfume combines addictive caramel and delicate iris atop subtle white musks, forming a sensual and sweet scent. The balance of playful and unique accords creates a simply unforgettable and sophisticated women's fragrance.About the Fragrance: A symbol of joyful femininity and whimsy, this sweet and distinctive perfume is impossible to forget. It takes addictive olfactive notes to a new level, embodying the free spirit of the ingenious yet impulsive woman who’s unafraid of extremes.This Set Contains:- 0.24 oz/ 7 mL Eau de Parfum - 0.34 oz/ 10 mL Eau de Parfum Rollerball",16,5,4.0952,Warm & Spicy,Warm & Sweet Gourmandss,Unknown,"Prada, Candy Eau de Parfum  Mini and Rollerball Set",21,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5,2,5,5,1,1,5
5,P500034,Juliette Has a Gun,Not a Perfume Sampler Set,"Set Description: Take a sensory journey with the art of perfumery directly from Paris. This mini set features Juliette Has a Gun’s most-coveted perfumes by highlighting the creator’s favorites, all designed to make you feel confident, beautiful, and proud of who you are.About the Fragrance: This set contains eight coveted perfumes. Not A Perfume is minimalist, elegant, and pure. Its allergen-free formula is also ideal for blending with other fragrances.Magnolia bliss instills memories of an endless summer. Hints of a juicy mirabelle plum, and fresh bergamot surround the essence of a soft magnolia flower. Lili Fantasy is a scandalous scent. Its mesmerizing bouquet of white flowers and amber tones follow a bubble gum gourmand surprise. Pear Inc. is a heavenly perfume evoking happiness, sunny days, and positivity; imagine a green pear laying on a milky heart of musk. Vanilla Vibes is a fusion of two opposites: natural vanilla and sea salt. Get ready for the ride. Lipstick Fever is a feminine essential. Notes of violet absolute, raspberry, and iris intertwine with a refined, woody base. MMMM . . . is a zero-calorie treat. Raspberry, orange blossom, and iris butter offer up a mouthwatering forbidden fruit. Not A Perfume Superdose is the intensified version of the famous Not A Perfume. It is super pure, super unique, super you.This Set Contains:- 0.17 oz/ 5 mL Not A Perfume- 0.06 oz/ 1.8 mL Magnolia Bliss- 0.06 oz/ 1.8 mL Lili Fantasy- 0.06 oz/ 1.8 mL Pear Inc.- 0.06 oz/ 1.8 mL Vanilla Vibes- 0.06 oz/ 1.8 mL Lipstick Fever- 0.06 oz/ 1.8 mL MMMM . . .- 0.06 oz/ 1.8 mL Not A Perfume Superdose",7,4,3.9091,Unknown,Unknown,Unknown,"Juliette Has a Gun, Not a Perfume Sampler Set",11,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3,5,5,5,3,3,3
6,P255506,Viktor&Rolf,Flowerbomb,"Fragrance Family: Warm & SpicyScent Type: Warm & Sweet GourmandsKey Notes: Jasmine, Orange Blossom, PatchouliFragrance Description: This floral perfume for women explodes with an intoxicating whirl of cattleya, jasmine, and rose. The warm scent of patchouli and vanilla grounds the fresh fragrance, adding a sensual twist on the scent reminiscent of a room filled with rose petals.About the Bottle: The instantly recognizable grenade fragrance bottle displays the soft-pink hue of the floral women's perfume within, contrasting the harsh shape with a distinctly feminine scent encapsulated within.About the Fragrance: This luxe feminine perfume is a veritable summer garden party in a bottle. Exploding with floral scents of rosebud and jasmine accented by a warm patchouli and vanilla cologne base, this perfume for women exudes classic femininity through warm floral fragrances.This fragrance is an Allure Best of Beauty award winner.",1087,148,4.5872,Warm & Spicy,Warm & Sweet Gourmands,"Jasmine, Orange Blossom, Patchouli","Viktor&Rolf, Flowerbomb",4966,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5,4,5,5,3,4,5
7,P437631,BURBERRY,Her Eau de Parfum,"Fragrance Family: FloralScent Type: Fruity FloralKey Notes: Dark Berries, Jasmine, Musk-AmberFragrance Description: Burberry Her Eau de Parfum for women is an artful blend of berries elevated by spirited jasmine and violet and smoothed out with amber and musk. A multifaceted, magnetic fruity gourmand and the scent of freedom.About the Bottle: Interweaving the House’s tailored heritage with unexpected twists and turns, this designer perfume from master perfumer Francis Kurkdjian opens with a dense burst of berries, with black currant, blueberry, and raspberry left to linger in an intense, fruity-floral sweetness. Delicate jasmine and violet unwind their tendrils in a white woody accord, casting the scent in dazzling light that deepens into dry amber and powdery musk at the base for a bold Burberry perfume for women.About the Fragrance: The Burberry Her woman throws herself head first into everything she does, losing herself in the whirlwind of color on her doorstep. Life lived in the fast lane. Shrug loose from the chains of expectation, seize the moment, and play by your own rules: a scent for women who know who they are.",986,169,4.31,Floral,Fruity Florals,"Dark Berries, Jasmine, Musk-Amber","BURBERRY, Her Eau de Parfum",1150,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5,2,3,3,4,5,5
8,P456175,TOM FORD,Mini Soleil Blanc Shimmering Body Oil,"Fragrance Family: Warm & Spicy
Scent Type: Warm & Sweet GourmandsKey Notes: Bergamot, Pistachio, Coco De Mer
Fragrance Description: This silky and lightweight body oil captures the sultry effect of sunkissed summer skin and tempts the senses with a fragrance of scorching sensuality. It illuminates the skin with shimmers of gold and platinum leaf. 
About the Fragrance: The captivating fragrance wraps a bouquet of white florals in a golden, amber-sandalwood embrace as tempting as a white-sand beach, as irresistible as the perfect tan.",637,83,4.4223,Unknown,Warm & Sweet Gourmands,Unknown,"TOM FORD, Mini Soleil Blanc Shimmering Body Oil",778,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,4,4
9,P385358,Maison Margiela,’REPLICA’ Beach Walk,"Fragrance Family: FreshScent Type: Fresh SolarKey Notes: Bergamot, Heliotrope, Coconut MilkFragrance Description: A fresh scent inspired by salty air and rays of sun where bergamot and pink pepper fuse with lemon atop a floral perfume of heliotrope, coconut milk, and musk.About the Bottle: Influenced by the look of classic apothecary jars, the luxe bottle carries a cotton label with black ink text and a unique pump wrapped with rope as a homage to the original couture line. The fresh eau de toilette within is echoed by the Polaroid photograph of waves meeting the sand printed on the outside carton.About the Fragrance: Memories of endless summer days, the scent of salty air, and the glow of sun-kissed skin are evoked with each fine mist. Footprints in the sand and the scent of sunscreen wafting through the air bring inspiration to this warm yet refreshing fragrance.",836,181,4.216,Fresh,Fresh Solar,"Bergamot, Heliotrope, Coconut Milk","Maison Margiela, ’REPLICA’ Beach Walk",1585,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2,5,5,5,2,5,2
